STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,Water_Quality
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,20.05,7.2,7.1,49,1.6,2.58,17,40,2012,Good
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,21,8.2,7.1,49,1.2,2.58,15,32,2012,Good
3352,"UMKHEN AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,21,7.8,7.1,58,1.5,2.58,19,43,2012,Good
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,20.05,4.0125,7.1,235,7.2,2.58,1511.625,4068.625,2012,Poor
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,20.05,4.9,7.1,182,7.2,2.58,1511.625,4068.625,2012,Poor
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,20.05,4.0125,7.1,281,7.2,2.58,1511.625,4068.625,2012,Poor
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,20.05,4.0125,7.1,382,7.2,2.58,1511.625,4068.625,2012,Poor
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,20.05,8,7,48,1.4,2.58,17,41,2012,Good
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,24,8.4,7.1,48,1.2,2.58,18,45,2012,Good
3363,"UMSHYRPI AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,20.05,6.8,6.6,49,1.9,2.58,18,38,2012,Good
3364,"UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,20.05,4.0125,7,286,7.2,2.58,1511.625,4068.625,2012,Poor
3365,"UMSHYRPI AT UMSHYRPI BDG, EAST KHASI HILLS",MEGHALAYA,20.05,4.0125,7.1,194,7.2,2.58,1511.625,4068.625,2012,Poor
1427,UMTREW AT BYRNIHAT EAST,MEGHALAYA,24,7.7,7.2,107,6.6,2.58,285,425,2012,Good
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,22,7.6,7.1,51,2,2.58,37,81,2012,Good
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,20.05,7.7,7.1,46,1.6,2.58,8,22,2012,Good
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,20.05,7.7,7.1,49,1.9,2.58,11,26,2012,Good
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,24,6.5,7.4,297,1,0.13,26,438,2012,Good
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24,6.3,7.5,287,0.9,0.14,5,204,2012,Good
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,24,6.5,7.2,375,1.1,0.17,33,625,2012,Good
2053,TUIRIAL LOWER CATCHMENT,MIZORAM,24,6.9,6.9,349,1.1,0.18,38,503,2012,Good
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,28,6.6,7.8,165,1.6,0.516,268,316,2012,Good
1404,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,28,6.4,8,155,3.9,0.5,512,516,2012,Good
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",TRIPURA,27,6.5,8,168,4.2,0.99,488,616,2012,Good
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,29.1,6.7,7.7,218,5,1.31,221,468,2011,Good
2459,DAMANGANGA AT ZUARI CAUSE WAY BRIDGE,"DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,7.9,1303.375,7.2,2.58,221,468,2011,Poor
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,"DAMAN, DIU, DADRA NAGAR HAVELI",28.1,4.6,8,1303.375,7.2,2.58,35,46,2011,Poor
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMAN, DIU, DADRA NAGAR HAVELI",29.1,4.8,7.8,1303.375,7.2,2.58,221,468,2011,Poor
2462,"DAMANGANGA AT VAPI WEIR,VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27.7,6.7,8.5,235,1.8965,2.58,221,468,2011,Good
2463,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.7,8.3,262,1.8965,0.516,221,468,2011,Good
2464,"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.8,7.8,227,1.8965,0.516,221,468,2011,Good
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.3,6.8,8.5,249,1.8965,0.11,221,468,2011,Good
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,8.2,1303.375,7.2,0.516,221,468,2011,Poor
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,27.6,7.1,7.3,212,1.4,0.84,3,6,2011,Good
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,28.2,5,8.3,1303.375,4.1,1.48,7,30,2011,Good
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,28,6.7,8,304,1.5,0.18,1500,3550,2011,Good
